year,mean_temp_c,days_observed,anomaly_c,zscore
1991,0.3,31,0.55,0.21
1992,1.27,31,1.52,0.57
1993,-1.44,31,-1.19,-0.45
1994,-1.45,31,-1.2,-0.45
1995,0.75,31,1.0,0.38
1996,-5.22,31,-4.97,-1.87
1997,0.01,31,0.26,0.1
1998,-1.16,31,-0.91,-0.34
1999,-0.6,31,-0.35,-0.13
2000,0.37,31,0.62,0.23
2001,-2.07,31,-1.82,-0.69
2002,1.46,31,1.71,0.65
2003,-2.15,31,-1.9,-0.71
2004,-0.43,31,-0.18,-0.07
2005,-4.97,31,-4.72,-1.78
2006,-5.22,31,-4.97,-1.87
2007,3.39,31,3.64,1.37
2008,0.95,31,1.2,0.45
2009,-1.01,31,-0.76,-0.29
2010,-1.59,31,-1.34,-0.5
2011,-2.06,31,-1.81,-0.68
2012,0.5,31,0.75,0.28
2013,-7.29,31,-7.04,-2.65
2014,3.63,31,3.88,1.46
2015,2.46,31,2.71,1.02
2016,0.67,31,0.92,0.35
2017,2.49,31,2.74,1.03
2018,-3.04,31,-2.79,-1.05
2019,1.82,31,2.07,0.78
2020,2.4,31,2.65,1.0
2021,0.13,31,0.38,0.14
2022,0.22,31,0.47,0.18
2023,1.19,31,1.43,0.54
2024,3.27,31,3.52,1.33
2025,3.67,31,3.92,1.48
2026,-99.89,29,-99.65,-37.52
