time,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,city
2025-12-25,,,,,Vilnius
2025-12-26,,,,,Vilnius
2025-12-27,,,,,Vilnius
2025-12-28,,,,,Vilnius
2025-12-29,,,,,Vilnius
2025-12-30,,,,,Vilnius
2025-12-31,,,,,Vilnius
2026-01-01,,,,,Vilnius
2026-01-02,,,,,Vilnius
2026-01-03,,,,,Vilnius
2026-01-04,,,,,Vilnius
2026-01-05,,,,,Vilnius
2026-01-06,,,,,Vilnius
2026-01-07,,,,,Vilnius
2026-01-08,,,,,Vilnius
2026-01-09,,,,,Vilnius
2026-01-10,,,,,Vilnius
2026-01-11,,,,,Vilnius
2026-01-12,,,,,Vilnius
2026-01-13,,,,,Vilnius
2026-01-14,,,,,Vilnius
2026-01-15,,,,,Vilnius
2026-01-16,,,,,Vilnius
2026-01-17,,,,,Vilnius
2026-01-18,,,,,Vilnius
2026-01-19,,,,,Vilnius
2026-01-20,,,,,Vilnius
2026-01-21,,,,,Vilnius
2026-01-22,,-14.6,-7.8,0.0,Vilnius
2026-01-23,-9.0,-10.4,-7.7,0.0,Vilnius
2026-01-24,-11.4,-12.4,-10.1,0.0,Vilnius
2026-01-25,-11.6,-12.9,-9.2,0.0,Vilnius
2026-01-26,-7.4,-11.1,-3.2,2.8,Vilnius
2026-01-27,-2.2,-3.2,-1.4,6.9,Vilnius
2026-01-28,-5.1,-7.8,-2.5,7.3,Vilnius
2026-01-29,-8.6,-9.8,-6.6,0.0,Vilnius
2026-01-30,-12.5,-14.2,-10.4,0.0,Vilnius
2026-01-31,-14.1,-16.6,-10.3,0.0,Vilnius
2026-02-01,-16.0,-18.0,-12.7,0.0,Vilnius
2026-02-02,-16.6,-19.9,-13.7,0.0,Vilnius
2026-02-03,-13.2,-15.5,-10.1,0.0,Vilnius
2026-02-04,-14.1,-16.7,-11.2,0.0,Vilnius
2026-02-05,-9.1,-13.6,-5.2,1.5,Vilnius
2026-02-06,-4.8,-5.5,-4.2,1.1,Vilnius
2026-02-07,-3.5,-4.1,-2.4,2.2,Vilnius
2026-02-08,-5.9,-10.0,-3.3,0.5,Vilnius
2026-02-09,-10.6,-12.2,-7.4,0.0,Vilnius
2026-02-10,-10.9,-13.5,-8.1,0.2,Vilnius
2026-02-11,-3.6,-7.6,-0.3,2.5,Vilnius
2026-02-12,0.7,-0.1,1.4,3.8,Vilnius
2026-02-13,2.2,0.8,3.4,9.8,Vilnius
2026-02-14,-5.3,-8.5,3.2,2.2,Vilnius
2026-02-15,-9.6,-12.2,-7.0,0.0,Vilnius
2026-02-16,-11.2,-14.8,-6.1,0.0,Vilnius
2026-02-17,-11.4,-14.7,-8.0,0.0,Vilnius
2026-02-18,-8.7,-10.9,-6.4,1.2,Vilnius
2026-02-19,-5.2,-7.4,-2.9,3.4,Vilnius
2026-02-20,-5.3,-7.8,-2.5,0.6,Vilnius
2026-02-21,-4.1,-7.1,-0.5,0.0,Vilnius
2026-02-22,0.5,-2.2,2.3,0.8,Vilnius
2026-02-23,0.3,-1.5,1.5,2.8,Vilnius
2026-02-24,1.5,0.1,2.7,0.8,Vilnius
2026-02-25,-0.3,-1.6,1.3,1.0,Vilnius
2026-02-26,-0.5,-1.9,1.5,0.0,Vilnius
2026-02-27,1.0,-1.4,3.0,0.0,Vilnius
2026-02-28,4.6,1.8,8.5,0.0,Vilnius
2026-03-01,4.2,2.3,7.7,0.0,Vilnius
2026-03-02,2.8,1.5,4.2,0.0,Vilnius
2026-03-03,2.1,0.7,4.1,0.0,Vilnius
2026-03-04,3.2,1.4,3.9,0.0,Vilnius
2026-03-05,2.6,0.4,5.2,0.0,Vilnius
2026-03-06,2.7,0.9,5.8,0.0,Vilnius
2026-03-07,4.4,0.6,9.3,0.0,Vilnius
2026-03-08,6.0,1.8,10.9,0.0,Vilnius
2026-03-09,6.9,2.6,12.5,0.0,Vilnius
2026-03-10,7.8,3.5,12.7,0.0,Vilnius
2026-03-11,9.0,5.3,14.1,0.0,Vilnius
2026-03-12,9.9,5.3,15.2,21.2,Vilnius
2026-03-13,9.2,4.7,14.9,0.0,Vilnius
2026-03-14,9.2,5.3,13.8,0.0,Vilnius
2026-03-15,8.4,4.1,13.2,0.0,Vilnius
2026-03-16,8.1,4.0,12.7,0.0,Vilnius
2026-03-17,7.8,3.7,12.7,0.0,Vilnius
2026-03-18,7.4,3.2,11.8,0.0,Vilnius
2026-03-19,7.5,4.4,11.4,0.0,Vilnius
2026-03-20,5.1,3.4,6.6,2.3,Vilnius
2026-03-21,5.4,1.4,10.8,0.0,Vilnius
2026-03-22,8.2,2.9,13.4,0.0,Vilnius
2026-03-23,9.4,5.5,13.8,0.0,Vilnius
2026-03-24,9.0,4.9,12.2,0.0,Vilnius
2026-03-25,10.0,5.7,14.1,0.0,Vilnius
2026-03-26,6.7,4.5,9.8,14.6,Vilnius
2026-03-27,7.3,4.4,11.5,0.3,Vilnius
